Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
9793-WECQC,0,23,2,0,0,95.3,2191.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4291-HPAXL,1,1,0,0,0,19.85,19.85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8999-YPYBV,1,45,1,1,1,84.35,3795.7499999999995,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1839-FBNFR,1,39,0,1,1,19.85,774.1500000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3164-AALRN,0,5,1,2,1,70.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3071-MVJCD,1,72,1,1,0,82.3,5925.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1697-BCSHV,1,58,1,0,1,66.8,3874.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0562-KBDVM,0,70,1,1,1,44.6,3122.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1131-SUEKT,1,61,2,2,1,98.45,6005.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3717-OEAUQ,0,2,2,0,0,70.7,141.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4538-WNTMJ,1,46,0,2,0,24.95,1147.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3334-CTHOL,0,1,1,0,1,49.95,49.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4704-ERYFC,0,22,2,0,1,69.25,1523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9432-RUVSL,0,48,2,1,1,102.5,4920.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8060-HIWJJ,0,64,1,1,0,86.55,5539.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7684-XSZIY,1,72,0,1,0,24.3,1749.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9089-UOWJG,1,12,1,0,1,58.35,700.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8621-MNIHH,0,34,2,0,1,94.25,3204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8039-ACLPL,1,72,1,1,0,68.75,4950.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9885-AIBVB,0,29,2,0,1,85.8,2488.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1934-MKPXS,1,33,0,2,0,20.1,663.3000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2592-YKDIF,0,1,0,0,0,20.35,20.35,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2272-JKMSI,1,62,2,2,1,110.8,6869.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0471-LVHGK,0,41,1,2,1,73.0,2993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9518-RWHZL,0,64,2,2,1,100.05,6403.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8714-CTZJW,0,4,2,0,1,82.85,331.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3569-EDBPQ,0,24,2,0,1,84.35,2024.3999999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3131-NWVFJ,1,14,0,2,0,19.55,273.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7521-YXVZY,1,3,0,0,0,19.95,59.849999999999994,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5419-CONWX,0,4,2,0,1,99.8,399.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6240-EURKS,1,18,1,0,1,35.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2373-NTKOD,0,8,1,0,1,66.25,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1970-KKFWL,0,35,0,1,0,23.3,815.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6960-HVYXR,0,1,2,0,0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9337-SRRNI,1,66,0,1,1,25.3,1669.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0895-UADGO,1,8,1,1,1,44.55,356.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5678-VFNEQ,0,71,2,2,1,104.1,7391.099999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5977-CKHON,1,43,2,0,1,92.55,3979.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7024-OHCCK,0,2,2,0,1,93.85,187.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2692-BUCFV,0,29,2,0,1,101.45,2942.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7861-UVUFT,0,15,2,0,1,84.3,1264.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1830-GGFNM,1,65,2,1,0,94.55,6145.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5302-BDJNT,0,35,2,0,0,95.5,3342.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5223-UZAVK,0,64,2,2,1,100.3,6419.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4859-ZSRDZ,1,58,1,1,1,55.5,3219.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5651-WYIPH,0,18,1,0,1,49.85,897.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9350-VLHMB,1,67,2,0,1,89.55,5999.849999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3498-LZGQZ,1,63,0,1,1,19.15,1206.4499999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8785-CJSHH,0,60,2,0,1,99.8,5988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5357-TZHPP,0,9,2,0,1,84.4,759.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3870-SPZSI,1,70,2,1,1,113.05,7913.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0680-DFNNY,0,15,2,0,1,101.1,1516.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7560-QRBXH,1,48,0,2,0,19.95,957.5999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7077-XJMET,0,12,1,0,1,74.15,889.8000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8752-GHJFU,0,71,2,2,1,92.0,6532.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6896-SRVYQ,0,44,2,0,0,73.85,3249.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7767-UXAGJ,0,1,1,0,1,50.45,50.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4652-ODEVH,1,45,0,1,0,24.45,1100.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6510-UPNKS,0,23,0,2,0,24.8,570.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6718-BDGHG,0,43,1,2,1,64.85,2788.5499999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9046-DQMTP,0,35,0,0,0,20.75,726.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6439-LAJXL,0,9,1,0,1,68.95,620.5500000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1571-SAVHK,0,12,2,0,1,99.95,1199.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
9052-VKDUW,0,65,2,0,1,109.4,7111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9546-CQJSU,0,2,2,0,1,91.4,182.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1666-JZPZT,0,27,1,0,0,49.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5777-KJIRB,0,40,1,2,1,50.25,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0506-LVNGN,0,5,2,0,1,75.55,377.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7677-SJJJK,1,8,0,2,0,19.9,159.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2480-EJWYP,0,58,2,2,1,97.8,5672.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3253-HKOKL,1,52,2,2,0,100.3,5215.599999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7055-HNEOJ,0,3,1,0,1,55.8,167.39999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5514-YQENT,1,41,2,1,1,111.15,4557.150000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3211-AAPKX,0,20,2,0,1,98.55,1971.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8445-DNBAE,1,1,1,0,1,50.05,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2951-QOQTK,1,4,2,0,0,80.8,323.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2958-NHPPS,0,23,0,0,0,20.85,479.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6806-YDEUL,0,6,0,0,0,19.5,117.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1735-XMJVH,1,8,0,0,1,19.35,154.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6890-PFRQX,0,18,1,0,0,69.5,1251.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0222-CNVPT,0,52,1,0,1,48.8,2537.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5899-OUVKV,0,31,2,0,1,94.5,2929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8681-ICONS,1,29,0,0,1,20.65,598.8499999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1621-YNCJH,0,36,2,1,1,106.05,3817.7999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3473-XIIIT,0,16,2,0,1,100.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6362-QHAFM,0,42,2,2,1,108.3,4548.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7893-IXHRQ,0,1,0,0,0,20.55,20.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
3070-BDOQC,0,60,2,1,1,99.65,5979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2952-QAYZF,0,5,2,0,1,85.3,426.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6234-PFPXL,0,22,2,0,0,95.9,2109.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9824-QCJPK,0,36,0,2,0,20.0,720.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4763-PGDPO,0,4,2,0,0,70.4,281.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4283-IVYCI,0,9,1,0,0,64.95,584.5500000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1866-OBPNR,1,1,2,0,0,74.6,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8205-MQUGY,1,12,1,0,1,49.2,590.4000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8970-ANWXO,0,23,1,2,1,73.75,1696.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9480-BQJEI,0,62,2,2,1,92.3,5722.599999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5394-SVGJV,0,37,2,0,0,98.8,3655.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6979-TNDEU,0,8,0,0,0,19.2,153.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9777-WJJPR,0,31,2,0,0,88.65,2748.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9283-LZQOH,1,13,2,0,1,74.4,967.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7079-QRCBC,0,24,2,0,1,98.75,2370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9495-SKLKD,1,45,2,0,1,95.95,4317.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6048-UWKAL,0,69,2,1,0,105.4,7272.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5067-DGXLL,0,2,0,0,0,20.25,40.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5469-CTCWN,1,61,2,2,1,106.0,6466.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9851-QXEEQ,0,41,2,0,1,104.7,4292.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6281-FKEWS,0,44,1,2,1,49.05,2158.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8898-KASCD,0,39,1,2,0,35.55,1386.4499999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9242-TKFSV,1,72,1,1,1,65.1,4687.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9290-SHCMB,0,13,2,0,1,96.85,1259.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0743-HNPFG,1,51,1,2,1,69.75,3557.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2277-BKJKN,0,71,2,1,1,99.2,7043.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9809-IMGCQ,0,22,2,0,1,96.7,2127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5208-HFSBT,0,2,1,0,1,55.05,110.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5035-PGZXH,0,56,2,2,1,106.8,5980.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8695-WDYEA,0,1,1,0,0,51.25,51.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6543-JXSOO,1,23,1,2,1,57.75,1328.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8016-ZMGMO,0,66,1,2,1,70.85,4676.099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8605-ITULD,0,1,0,0,0,19.55,19.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3254-YRILK,0,19,2,0,1,88.2,1675.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6416-YJTTB,0,11,2,0,1,79.5,874.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2667-WYLWJ,1,8,0,2,1,19.75,158.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
4472-VESGY,1,52,2,0,0,98.15,5103.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3195-TQDZX,0,3,0,0,1,20.25,60.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3128-YOVTD,1,51,2,0,1,79.15,4036.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0529-ONKER,0,15,2,0,0,75.65,1134.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1728-CXQBE,0,64,2,0,1,94.25,6032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7041-TXQJH,0,37,1,0,1,40.2,1487.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5014-GSOUQ,0,13,0,1,0,19.95,259.34999999999997,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5724-BIDBU,0,49,1,2,1,55.35,2712.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0481-SUMCB,0,45,2,2,1,102.15,4596.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1769-GRUIK,0,18,2,0,1,71.1,1279.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5240-IJOQT,0,1,2,0,1,74.7,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8819-WFGGJ,0,68,1,1,1,54.1,3678.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7427-AUFPY,0,54,0,1,0,19.65,1061.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2811-POVEX,1,23,2,0,1,88.45,2034.3500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1092-GANHU,0,17,2,0,1,76.65,1303.0500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7898-PDWQE,0,71,1,1,0,80.4,5708.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9972-EWRJS,1,67,0,1,1,19.25,1289.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9314-IJWSQ,1,14,2,0,1,84.8,1187.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0661-XEYAN,0,1,1,0,1,25.8,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5799-JRCZO,1,63,0,1,0,19.5,1228.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1921-KYSAY,0,41,1,2,1,68.6,2812.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6198-RTPMF,0,17,2,0,0,92.6,1574.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2924-KHUVI,0,56,2,2,1,100.55,5630.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1925-GMVBW,0,5,0,0,0,20.55,102.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7881-EVUAD,0,2,1,0,1,42.6,85.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6184-DYUOB,0,3,0,0,1,19.6,58.800000000000004,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9207-ZPANB,0,37,1,2,0,67.45,2495.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5766-XQXMQ,0,29,1,0,1,68.85,1996.6499999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9327-QSDED,0,8,1,0,0,43.55,348.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1656-DRSMG,0,63,2,0,1,109.85,6920.549999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3012-VFFMN,1,7,0,0,0,20.65,144.54999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2984-AFWNC,0,3,2,0,0,95.4,286.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0640-YJTPY,1,72,0,1,0,21.0,1512.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8096-LOIST,0,19,1,0,1,56.2,1067.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9764-REAFF,0,59,0,1,0,18.4,1085.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3703-VAVCL,1,2,2,0,0,90.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7107-UBYKY,1,35,0,0,1,25.75,901.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4881-GQJTW,0,14,0,0,0,19.6,274.40000000000003,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8519-QJGJD,0,14,2,0,0,75.35,1054.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7876-DNYAP,1,69,0,1,0,19.8,1366.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7905-NJMXS,0,7,1,0,0,64.2,449.40000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2882-WDTBA,1,69,1,1,1,75.75,5226.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2091-GPPIQ,1,72,1,1,1,78.95,5684.400000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6326-MTTXK,0,8,2,0,0,100.85,806.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5071-FBJFS,1,4,1,0,0,50.3,201.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2796-UUZZO,1,63,2,0,1,80.3,5058.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2429-AYKKO,0,72,0,1,0,19.85,1429.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9798-OPFEM,0,46,0,1,1,21.1,970.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0330-IVZHA,0,5,2,0,0,69.95,349.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3794-NFNCH,0,30,1,0,1,50.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5193-QLVZB,0,63,2,1,1,104.75,6599.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7114-AEOZE,0,60,0,1,0,19.85,1191.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2886-KEFUM,0,63,2,2,1,107.5,6772.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5522-NYKPB,1,25,2,0,0,85.9,2147.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4237-RLAQD,0,1,1,0,1,45.85,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9957-YODKZ,0,6,2,0,1,80.8,484.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6518-KZXCB,0,22,0,1,0,25.25,555.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2245-ADZFJ,1,31,1,1,0,80.55,2497.0499999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7776-QGYJC,1,39,2,0,1,81.5,3178.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9313-QOLTZ,0,26,0,0,0,20.9,543.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9651-GTSAQ,0,53,2,2,1,106.1,5623.299999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3186-BAXNB,0,1,2,0,0,91.7,91.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4672-FOTSD,0,12,1,0,1,67.25,807.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0637-YLETY,0,16,2,0,1,95.6,1529.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9818-XQCUV,0,2,0,0,0,20.35,40.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7338-ERIVA,1,39,1,2,0,45.05,1756.9499999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1157-BQCUW,0,1,2,0,1,74.95,74.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8259-NFJTV,1,7,1,0,0,34.65,242.54999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3223-DWFIO,0,4,2,0,0,69.35,277.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2660-EMUBI,0,10,2,0,1,95.35,953.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6968-GMKPR,0,55,2,0,1,81.55,4485.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4751-ERMAN,1,72,1,1,1,75.4,5428.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1436-ZMJAN,0,10,1,0,1,67.8,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3292-PBZEJ,0,11,2,0,1,111.4,1225.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0799-DDIHE,1,15,1,0,0,46.3,694.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3070-FNFZQ,1,23,0,1,0,20.4,469.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2812-SFXMJ,1,1,0,0,0,20.05,20.05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7675-OZCZG,0,3,1,0,0,45.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5014-WUQMG,1,47,2,2,1,96.1,4516.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5312-TSZVC,1,15,0,2,0,19.65,294.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2003-CKLOR,0,66,2,0,0,99.5,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0993-OSGPT,0,68,1,2,1,60.65,4124.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9254-RBFON,1,17,2,2,0,98.6,1676.1999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1205-WNWPJ,0,7,1,0,1,59.5,416.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
9391-EOYLI,0,12,2,0,1,80.45,965.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7108-DGVUU,0,21,1,2,0,71.7,1505.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2782-JEEBU,0,21,1,0,1,36.0,756.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5127-BZENZ,1,56,1,2,0,65.2,3651.2000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2720-FVBQP,1,6,1,0,1,48.95,293.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9906-NHHVC,0,65,1,1,1,53.5,3477.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4522-XRWWI,0,42,1,2,0,80.45,3378.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3766-EJLFL,1,68,2,1,1,109.05,7415.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5939-SXWHM,1,48,0,1,0,26.3,1262.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8152-UOBNY,0,50,2,2,1,106.8,5340.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7351-KYHQH,0,7,1,0,1,64.95,454.65000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7643-RCHXS,1,63,0,1,0,19.35,1219.0500000000002,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8246-SHFGA,0,17,0,0,0,21.1,358.70000000000005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8387-MOJJT,1,42,2,0,1,77.95,3273.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
