SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
8728-SKJLR,0,0,0,41,2,0,1,1,74.25,3044.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3137-NYQQI,0,1,0,17,1,2,0,0,64.8,1101.6,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7706-DZNKK,0,0,0,11,0,0,1,3,20.45,224.95,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0236-HFWSV,0,0,0,15,2,0,1,1,93.35,1400.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3900-AQPHZ,0,0,0,1,0,0,0,0,19.9,19.9,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5842-POCOP,0,1,0,5,2,0,1,0,88.9,444.5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2037-XJFUP,0,1,0,33,2,2,1,1,95.8,3161.4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8823-RLPWL,0,1,0,72,2,1,1,3,110.65,7966.8,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9505-SQFSW,0,1,1,3,1,0,0,0,40.3,120.89999999999999,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7314-OXENN,0,0,0,2,2,0,1,1,82.0,164.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3758-CKOQL,0,1,0,59,2,2,1,3,107.0,6313.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0322-CHQRU,0,0,0,2,1,0,0,1,45.35,90.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5676-CFLYY,0,1,1,71,1,1,1,3,73.35,5207.849999999999,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
7521-AFHAB,0,1,1,5,1,0,0,0,44.8,224.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0285-INHLN,0,1,1,27,1,0,1,3,54.75,1478.25,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4678-DVQEO,0,0,0,1,1,0,1,1,52.2,52.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5125-CNDSP,0,0,1,63,1,2,1,2,40.6,2557.8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0691-IFBQW,1,0,0,46,2,2,1,1,110.0,5060.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4992-LTJNE,0,1,1,72,1,1,0,2,55.3,3981.6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202-OUTMO,0,1,0,34,1,0,1,2,60.85,2068.9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0810-BDHAW,0,1,1,24,1,2,0,1,78.4,1881.6000000000001,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0229-LFJAF,0,0,0,72,1,1,0,2,69.65,5014.8,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7131-ZQZNK,0,1,1,60,1,1,0,3,59.85,3591.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3442-ZHHCC,0,0,0,68,1,2,1,3,76.9,5229.200000000001,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5726-CVNYA,0,1,1,8,0,1,1,0,19.85,158.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9871-ELEYA,0,0,1,34,1,1,0,3,67.65,2300.1000000000004,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4257-GAESD,0,0,0,6,1,0,0,3,45.0,270.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5173-WXOQV,0,1,0,2,1,0,1,0,64.2,128.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2040-OBMLJ,0,0,0,31,2,2,0,3,81.7,2532.7000000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6286-ZHAOK,0,1,1,20,0,0,1,2,25.55,511.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3807-XHCJH,0,1,1,1,0,0,0,1,20.0,20.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3009-JWMPU,0,0,0,62,2,2,1,1,96.75,5998.5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5671-RQRLP,1,1,0,70,2,1,1,3,75.65,5295.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1450-GALXR,0,0,0,10,2,0,1,1,98.5,985.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8859-AXJZP,0,1,1,39,0,1,1,0,23.8,928.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3174-AKMAS,0,1,0,46,1,1,1,3,64.2,2953.2000000000003,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3138-BKYAV,0,0,0,6,2,0,1,1,85.35,512.0999999999999,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9926-PJHDQ,0,1,1,72,1,1,1,2,76.8,5529.599999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7382-DFJTU,0,0,0,18,1,0,0,3,55.2,993.6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2798-NYLMZ,0,1,0,71,2,1,1,3,108.55,7707.05,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4289-DTDKW,0,1,0,40,2,0,1,1,101.3,4052.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1820-TQVEV,0,0,0,1,2,0,1,1,69.55,69.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239-JALAW,0,0,0,58,2,2,1,2,103.25,5988.5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4853-RULSV,0,0,0,70,2,1,1,3,104.0,7280.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8098-TDCBU,0,1,0,42,0,1,0,1,25.25,1060.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3551-GAEGL,0,1,1,34,1,2,0,2,30.4,1033.6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4785-NKHCX,1,0,0,5,0,0,0,2,20.05,100.25,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3196-NVXLZ,0,0,0,25,2,0,1,0,84.6,2115.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6275-YDUVO,0,0,0,2,2,0,1,0,86.2,172.4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0036-IHMOT,0,1,1,55,2,2,1,2,103.7,5703.5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0115-TFERT,0,1,0,21,2,0,1,1,111.2,2335.2000000000003,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4178-EGMON,0,1,0,70,2,1,1,3,88.0,6160.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4220-TINQT,0,1,0,61,2,0,1,1,106.35,6487.349999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5318-YKDPV,0,1,1,43,1,1,1,3,79.15,3403.4500000000003,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7975-TZMLR,0,0,0,47,2,2,1,1,103.1,4845.7,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0295-QVKPB,0,0,0,5,1,0,1,3,63.95,319.75,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4335-BSMJS,0,0,0,62,0,1,1,3,25.8,1599.6000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2311-QYMUQ,0,1,1,16,2,0,1,3,89.45,1431.2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3643-AHCFP,1,1,0,7,2,0,1,2,95.6,669.1999999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9146-JRIOX,0,1,1,14,0,0,0,0,25.55,357.7,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3104-OWCGK,0,1,1,60,2,2,0,1,90.95,5457.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5337-IIWKZ,0,1,1,34,1,0,1,1,44.85,1524.9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9101-BWFSS,0,1,0,50,2,2,0,1,108.55,5427.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9650-VBUOG,0,1,1,38,0,1,0,3,25.05,951.9,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3487-EARAT,0,1,1,70,1,2,0,3,74.1,5187.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2672-TGEFF,0,1,1,37,2,0,1,1,88.8,3285.6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9231-ZJYAM,1,0,0,4,2,0,1,1,78.85,315.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4250-WAROZ,1,1,1,60,2,0,1,1,93.25,5595.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8184-WMOFI,0,1,1,62,1,2,0,3,71.4,4426.8,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6982-SSHFK,0,0,0,1,1,0,0,0,44.4,44.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6092-QZVPP,0,0,0,36,1,0,1,3,79.2,2851.2000000000003,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4625-LAMOB,0,0,0,44,0,1,0,3,20.4,897.5999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0727-BMPLR,1,0,0,55,2,2,1,1,100.0,5500.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0392-BZIUW,0,1,0,72,2,1,1,3,105.0,7560.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1038-ZAGBI,0,1,1,12,0,2,0,2,19.8,237.60000000000002,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6549-NNDYT,0,0,0,13,1,0,1,2,30.85,401.05,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3027-ZTDHO,0,0,0,1,2,0,1,1,89.9,89.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0422-OHQHQ,0,1,1,15,0,2,0,0,20.55,308.25,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6916-HIJSE,0,0,0,65,1,1,1,2,84.85,5515.25,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2316-ESMLS,0,1,1,12,1,2,0,3,33.15,397.79999999999995,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9778-OGKQZ,0,1,0,72,1,1,1,3,92.0,6624.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7408-OFWXJ,0,1,1,72,1,1,0,3,89.8,6465.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6007-TCTST,0,1,1,72,2,1,1,2,115.8,8337.6,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2252-NKNSI,0,0,1,52,1,1,1,0,85.15,4427.8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8713-IGZSO,0,0,0,2,0,0,0,0,24.85,49.7,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7905-TVXTA,0,0,0,5,1,0,1,1,64.35,321.75,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7695-PKLCZ,0,0,0,68,0,1,0,3,20.5,1394.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2382-BCKQJ,0,0,1,62,2,2,1,1,100.15,6209.3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8374-UULRV,0,0,0,72,1,1,0,3,86.05,6195.599999999999,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2207-NHRJK,0,0,0,1,1,0,0,1,50.8,50.8,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3224-DFQNQ,0,1,0,66,2,2,0,1,89.0,5874.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5275-PMFUT,0,1,1,72,1,1,1,3,64.8,4665.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4795-UXVCJ,0,0,0,26,0,2,0,3,19.8,514.8000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9777-IQHWP,0,1,1,64,2,1,0,2,93.4,5977.6,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0947-MUGVO,1,1,0,20,2,0,1,1,73.65,1473.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9944-HKVVB,0,0,0,3,2,0,1,1,95.1,285.29999999999995,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4124-MMETB,0,0,0,22,2,0,1,3,94.65,2082.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3671-SHRSP,0,1,0,4,2,0,1,0,80.6,322.4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0979-MOZQI,0,1,0,62,1,1,1,2,39.0,2418.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2732-ISEZX,0,0,0,5,0,0,1,0,20.5,102.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3313-QKNKB,0,1,0,59,2,2,0,1,85.55,5047.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0323-XWWTN,0,0,1,3,0,1,1,0,26.4,79.19999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1937-OTUKY,0,1,0,72,2,1,1,2,98.2,7070.400000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1573-LGXBA,0,1,1,57,2,2,1,3,97.55,5560.349999999999,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1764-VUUMT,0,0,1,66,0,1,0,3,19.95,1316.7,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5073-WXOYN,0,0,0,60,1,0,1,1,50.8,3048.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4713-ZBURT,0,0,1,45,2,1,0,2,99.7,4486.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3050-GBUSH,0,0,0,3,1,0,1,3,34.8,104.39999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0207-MDKNV,0,0,0,15,2,0,0,1,105.1,1576.5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7876-AEHIG,0,0,1,51,1,2,0,2,60.15,3067.65,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7945-HLKEA,0,0,0,60,1,2,0,1,64.75,3885.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9342-VNIMQ,0,0,0,33,1,0,1,2,54.65,1803.45,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9851-KIELU,0,0,0,10,2,0,1,1,110.1,1101.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3523-BRGUW,1,0,0,26,0,2,0,3,19.3,501.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3908-BLSYF,0,0,0,6,2,0,0,1,83.9,503.40000000000003,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3199-NPKCN,0,1,0,67,2,2,1,1,111.25,7453.75,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5170-PTRKA,0,1,1,49,1,2,1,3,35.8,1754.1999999999998,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4661-NJEUX,0,0,0,1,0,0,1,0,20.05,20.05,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2123-AGEEN,1,0,0,7,2,0,1,1,84.35,590.4499999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1258-YMZNM,1,0,0,27,2,2,1,2,110.5,2983.5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0048-LUMLS,0,1,1,37,2,2,0,3,91.2,3374.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7549-MYGPK,0,1,1,63,2,0,1,1,100.55,6334.65,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5898-IGSLP,0,1,1,31,2,0,0,1,89.3,2768.2999999999997,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3804-RVTGV,0,1,1,50,2,0,1,2,103.85,5192.5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6259-WJQLC,1,0,0,32,2,0,1,3,81.1,2595.2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9227-LUNBG,0,0,0,1,1,0,0,1,24.6,24.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7997-EASSD,0,1,0,63,2,2,1,3,81.2,5115.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0730-KOAVE,0,0,0,30,2,0,1,3,94.3,2829.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8975-SKGRX,0,1,0,71,2,1,1,2,116.1,8243.1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0678-RLHVP,0,0,0,53,2,1,0,1,105.55,5594.15,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4315-MURBD,0,0,0,12,2,0,1,2,98.9,1186.8000000000002,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2267-FPIMA,0,1,0,50,2,0,1,3,94.4,4720.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1051-GEJLJ,0,0,0,2,0,0,0,0,19.5,39.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9734-YWGEX,0,0,0,9,2,0,0,3,98.3,884.6999999999999,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2719-BDAQO,0,0,0,17,2,0,0,1,93.85,1595.4499999999998,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5285-MVEHD,0,1,0,56,2,2,1,3,105.6,5913.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0379-DJQHR,0,1,1,67,1,1,0,3,81.35,5450.45,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0781-LKXBR,1,0,0,9,2,0,1,1,100.5,904.5,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5543-QDCRY,0,0,0,4,1,0,1,1,56.4,225.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0297-RBCSG,0,0,0,19,1,2,1,2,65.35,1241.6499999999999,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4694-PHWFW,0,0,1,8,0,0,0,0,19.95,159.6,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0835-JKADZ,0,0,0,71,2,1,1,1,111.25,7898.75,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1907-UBQFC,1,0,0,10,2,0,1,1,72.85,728.5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7508-SMHXL,1,0,0,15,2,0,0,3,89.0,1335.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3865-YIOTT,0,1,1,72,2,2,1,2,106.1,7639.2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5993-BQHEA,0,0,0,12,0,2,0,3,20.05,240.60000000000002,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6024-RUGGH,0,1,1,72,0,1,1,2,25.2,1814.3999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6513-EECDB,1,1,0,1,2,0,1,1,73.55,73.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3956-CJUST,1,0,0,23,2,0,1,2,75.4,1734.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4079-WWQQQ,0,0,0,72,1,1,1,2,65.55,4719.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6103-BOCOU,0,0,0,26,2,0,1,1,80.7,2098.2000000000003,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5149-TGWDZ,0,0,0,21,2,2,1,0,104.55,2195.5499999999997,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7471-WNSUF,0,1,0,60,0,2,0,2,24.15,1449.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8942-DBMHZ,0,0,0,12,0,0,0,0,20.45,245.39999999999998,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4301-VVZKA,0,1,0,16,2,0,1,1,75.4,1206.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9199-PWQVC,0,1,0,63,1,2,1,3,79.7,5021.1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4824-GUCBY,1,0,0,22,2,0,0,1,81.7,1797.4,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5393-HJZSM,0,1,1,32,1,0,0,2,76.3,2441.6,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7074-IEVOJ,1,0,0,3,2,0,1,1,79.4,238.20000000000002,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9625-QSTYE,0,0,0,13,2,0,1,1,81.15,1054.95,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0862-PRCBS,0,1,1,68,2,1,1,3,103.75,7055.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8812-ZRHFP,0,1,1,30,2,2,0,1,86.45,2593.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
