SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
4806-KEXQR,0,0,0,4,2,0,1,1,79.9,319.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2817-NTQDO,0,0,0,13,1,0,1,3,45.55,592.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3230-IUALN,0,1,1,45,1,1,1,0,81.0,3645.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6500-JVEGC,0,0,0,68,2,2,0,2,101.35,6891.799999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7103-ZGVNT,0,1,1,69,1,2,0,3,73.7,5085.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1837-YQUCE,0,0,0,70,1,1,1,2,58.35,4084.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4800-VHZKI,0,0,0,1,0,0,1,0,19.9,19.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3887-PBQAO,0,1,1,45,0,2,1,3,25.9,1165.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5177-RVZNU,0,0,1,37,0,2,0,2,20.3,751.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1729-VLAZJ,0,0,1,10,1,2,0,0,40.25,402.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4273-MBHYA,0,0,1,1,2,0,1,1,89.35,89.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8690-UPCZI,0,1,1,29,1,2,0,2,69.05,2002.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6374-NTQLP,1,1,1,72,2,1,1,3,104.1,7495.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1618-CFHME,0,0,0,2,2,0,1,1,75.9,151.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4104-PVRPS,0,1,0,24,1,0,0,0,53.6,1286.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4210-QFJMF,0,0,0,4,2,0,1,1,79.15,316.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5787-KXGIY,0,1,0,72,0,1,0,3,19.3,1389.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3088-LHEFH,0,0,0,11,2,0,1,2,79.0,869.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8896-RAZCR,0,0,1,44,0,1,0,0,19.9,875.5999999999999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7268-WNTCP,0,1,1,62,0,1,0,2,20.45,1267.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5854-KSRBJ,0,1,1,70,0,1,0,0,25.4,1778.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9907-SWKKF,1,0,0,1,1,0,0,0,25.05,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3932-CMDTD,0,0,0,4,2,2,1,1,105.65,422.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5277-ZLOOR,1,0,0,2,2,0,1,1,85.55,171.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2746-DIJLO,0,0,0,41,1,2,1,3,56.3,2308.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9174-FKWZE,1,0,0,1,0,0,1,1,19.45,19.45,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9919-FZDED,1,1,0,72,1,1,1,3,84.1,6055.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9488-FYQAU,0,1,0,63,2,1,1,2,109.25,6882.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6869-FGJJC,0,0,0,68,2,2,0,3,79.6,5412.799999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3349-ANQNH,1,0,0,59,2,2,1,1,99.5,5870.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0222-CNVPT,1,0,0,52,1,0,1,3,48.8,2537.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6900-PXRMS,1,1,1,26,2,0,0,1,105.75,2749.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0230-WEQUW,0,1,0,66,1,1,1,2,56.6,3735.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7629-WFGLW,1,1,0,56,2,2,0,1,95.65,5356.400000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2235-EZAIK,0,1,0,72,1,1,0,3,79.2,5702.400000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5119-NZPTV,1,1,0,2,2,0,0,1,70.1,140.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4282-MSACW,0,0,0,68,2,2,1,3,117.2,7969.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7711-YIJWC,0,1,1,61,1,2,0,2,84.9,5178.900000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8749-CLJXC,0,0,0,1,0,0,0,0,20.05,20.05,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7636-XUHWW,0,0,0,2,0,0,1,3,19.9,39.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0883-EIBTI,0,0,0,2,0,0,0,0,19.5,39.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4098-NAUKP,1,1,1,68,2,0,1,1,84.65,5756.200000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0701-TJSEF,0,0,0,9,1,0,1,2,68.25,614.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0689-NKYLF,0,0,0,13,2,0,1,1,83.2,1081.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9867-NNXLC,0,0,0,22,0,0,1,0,20.05,441.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9337-SRRNI,0,0,1,66,0,1,1,3,25.3,1669.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1850-AKQEP,0,0,1,8,0,0,0,0,20.35,162.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5600-KTXFM,0,1,1,2,2,0,0,0,69.95,139.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7055-HNEOJ,0,1,0,3,1,0,1,0,55.8,167.39999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2462-XIIJB,0,0,0,5,2,0,1,1,92.5,462.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7277-KAMWT,0,0,0,13,0,1,0,3,20.0,260.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7691-KGKGP,0,1,1,53,1,0,0,3,65.0,3445.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7808-DVWEP,0,1,0,3,0,0,0,2,20.0,60.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2379-GYFLQ,0,0,0,46,2,2,1,3,94.9,4365.400000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7325-ENZFI,0,0,0,39,1,2,1,2,40.3,1571.6999999999998,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8800-ZKRFW,0,1,1,30,2,0,1,1,107.5,3225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9133-AYJZG,0,0,0,23,2,0,1,3,98.7,2270.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6772-WFQRD,0,0,1,40,0,2,1,2,20.4,816.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9670-BPNXF,0,0,0,45,1,2,1,3,62.55,2814.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2675-IJRGJ,0,0,0,53,0,1,0,2,19.65,1041.4499999999998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4829-ZLJTK,1,1,0,72,2,1,1,1,112.4,8092.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9950-MTGYX,0,1,1,28,0,1,1,3,20.3,568.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9755-JHNMN,0,0,0,49,1,1,0,2,67.4,3302.6000000000004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3746-EUBYR,0,1,0,1,2,0,1,2,74.6,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7929-DMBCV,0,1,0,20,2,0,1,0,81.0,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9640-ZSLDC,0,1,1,53,1,2,0,3,60.6,3211.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7197-VOJMM,0,1,0,67,1,1,1,3,69.2,4636.400000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2696-NARTR,0,0,0,11,2,0,1,1,73.85,812.3499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0689-DSXGL,0,1,1,52,2,0,0,2,85.8,4461.599999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7294-TMAOP,0,0,0,1,2,0,0,1,90.55,90.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6177-PEVRA,0,0,0,48,1,1,0,3,55.5,2664.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7410-YTJIK,0,0,0,7,2,0,0,0,75.45,528.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410-RSCMR,0,1,1,7,1,0,1,3,71.35,499.44999999999993,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
8800-JOOCF,0,0,1,12,2,0,1,1,84.05,1008.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4526-EXKKN,0,0,0,40,0,1,1,0,24.6,984.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0813-TAXXS,0,0,0,55,1,1,1,2,77.8,4279.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2320-TZRRH,0,0,0,20,0,2,0,0,19.5,390.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0841-NULXI,0,0,0,1,1,0,1,1,35.55,35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2725-TTRIQ,0,1,1,72,1,1,1,2,84.2,6062.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4778-IZARL,0,1,0,63,2,1,1,3,110.1,6936.299999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2535-PBCGC,0,1,0,70,1,1,0,2,64.55,4518.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3629-WEAAM,0,0,0,8,1,0,0,0,64.1,512.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6128-CZOMY,0,0,0,1,1,0,1,1,45.65,45.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9227-UAQFT,0,0,0,16,0,1,0,0,19.75,316.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0804-XBFBV,0,0,1,11,1,0,0,1,25.2,277.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4503-BDXBD,0,0,0,11,2,0,0,1,74.95,824.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9626-VFRGG,0,0,1,41,2,0,1,2,88.5,3628.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4994-OBRSZ,0,0,1,14,1,1,0,2,76.1,1065.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3654-ARMGP,0,0,0,61,1,1,0,3,88.65,5407.650000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0829-XXPLX,0,0,0,20,2,0,1,2,89.4,1788.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8938-UMKPI,0,0,0,47,2,0,1,1,106.4,5000.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4854-SSLTN,0,1,1,2,1,1,0,0,59.5,119.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9720-JJJOR,0,1,1,41,1,2,1,2,60.3,2472.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1926-QUZNN,0,1,0,72,0,1,1,2,25.25,1818.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4900-MSOMT,0,1,1,72,1,1,0,2,80.2,5774.400000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8910-ICHIU,0,0,0,46,2,2,1,3,95.65,4399.900000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4892-VLANZ,0,0,0,1,0,0,0,0,19.8,19.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0076-LVEPS,0,0,1,29,1,0,1,0,45.0,1305.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1666-JXLKU,0,0,0,37,2,0,1,1,100.05,3701.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4003-FUSHP,0,0,0,19,1,0,1,3,61.55,1169.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7696-AMHOD,0,1,1,49,1,2,0,3,78.0,3822.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8082-GHXOP,0,0,1,13,1,0,0,0,44.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5445-GLVOT,0,0,0,22,1,0,1,1,49.8,1095.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5195-KPUNQ,1,0,0,53,2,2,1,0,96.75,5127.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3948-XHGNA,0,0,0,24,1,0,1,2,49.55,1189.1999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9624-EGDEQ,0,0,0,37,0,1,0,0,19.8,732.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7551-DACSP,0,1,1,6,1,0,1,0,55.3,331.79999999999995,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8128-YVJRG,0,0,0,7,2,0,1,0,79.65,557.5500000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038-ZAGBI,0,1,1,12,0,2,0,2,19.8,237.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9153-BTBVV,0,1,0,71,0,1,0,2,25.0,1775.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9470-RTWDV,0,1,1,26,1,2,1,3,82.0,2132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7554-AKDQF,0,1,0,6,1,0,0,0,45.65,273.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7241-AJHFS,0,0,0,32,2,0,0,2,87.65,2804.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9633-DENPU,0,1,0,47,1,0,1,2,58.6,2754.2000000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5480-XTFFL,0,1,1,31,0,1,0,0,21.0,651.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7803-XOCCZ,0,1,1,52,2,0,1,2,84.05,4370.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6549-BTYPG,0,1,0,60,1,1,0,3,60.8,3648.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9114-AAFQH,0,1,0,48,1,2,1,1,65.65,3151.2000000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3572-UUHRS,0,0,0,45,0,2,0,2,18.85,848.2500000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7666-WKRON,0,0,0,39,2,1,1,1,80.45,3137.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5192-EBGOV,1,0,0,1,2,0,1,1,85.7,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6502-MJQAE,0,0,0,1,2,0,1,1,69.6,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400-BWQKW,0,0,0,6,2,0,1,1,79.05,474.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5928-QLDHB,0,0,0,9,2,0,1,1,76.25,686.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4376-KFVRS,0,1,1,72,2,1,1,3,114.05,8211.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3528-HFRIQ,1,1,0,71,1,0,1,2,52.3,3713.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2718-YSKCS,0,1,1,71,0,1,1,2,19.6,1391.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2434-EEVDB,0,1,0,64,2,1,1,3,94.6,6054.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6506-EYCNH,0,1,1,28,0,0,1,2,19.55,547.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3396-DKDEL,0,1,1,70,2,1,1,3,115.15,8060.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3269-ATYWD,1,0,0,39,2,0,1,2,95.65,3730.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1159-WFSGR,0,1,1,16,0,0,0,1,20.4,326.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9835-ZIITK,1,1,0,66,2,2,1,1,110.85,7316.099999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9279-CJEOJ,1,0,0,21,2,0,1,2,95.4,2003.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4720-VSTSI,0,0,0,44,2,0,1,2,84.8,3731.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1360-JYXKQ,1,1,0,54,2,2,1,1,99.1,5351.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8388-FYNPZ,0,0,0,4,1,0,0,1,56.75,227.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7868-TMWMZ,1,1,0,60,2,1,1,2,110.0,6600.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3466-RITXD,0,0,0,26,2,0,1,3,92.4,2402.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6427-FEFIG,0,1,1,24,1,1,0,3,78.6,1886.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6518-PPLMZ,0,1,1,53,0,1,1,0,19.4,1028.1999999999998,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6762-NSODU,0,1,1,46,0,1,0,3,19.4,892.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4355-CVPVS,0,1,1,56,2,2,0,2,88.9,4978.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7629-WIXZF,0,0,0,7,1,2,1,1,59.1,413.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3049-NDXFL,0,0,0,1,2,0,0,0,85.8,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3566-HJGPK,0,0,0,1,1,0,1,0,45.55,45.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1460-UZPRJ,0,1,0,60,0,1,0,0,19.95,1197.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3712-PKXZA,0,1,0,61,0,2,1,3,20.55,1253.55,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1623-NLDOT,0,1,0,42,1,2,0,0,33.55,1409.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5171-EPLKN,0,0,0,27,0,1,0,3,19.85,535.95,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5569-KGJHX,0,1,1,9,2,0,1,2,85.35,768.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7463-IFMQU,0,1,0,72,0,1,0,2,20.05,1443.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3178-CIFOT,0,0,0,23,0,2,1,3,19.65,451.95,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1095-JUDTC,1,0,0,47,2,0,1,1,95.05,4467.349999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3719-TDVQB,1,1,0,54,0,1,1,0,18.95,1023.3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4929-XIHVW,1,1,0,2,2,0,1,3,95.5,191.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8106-GWQOK,0,1,0,38,1,1,1,2,60.0,2280.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
4128-ETESU,1,1,0,47,2,0,0,1,99.7,4685.900000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0661-WCQNQ,0,1,0,22,1,2,1,3,56.25,1237.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4927-WWOOZ,0,1,0,2,2,0,1,1,91.45,182.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7564-GHCVB,0,1,1,72,2,1,0,2,79.05,5691.599999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3445-HXXGF,1,1,0,58,1,0,1,1,45.3,2627.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6670-MFRPK,0,1,1,69,2,1,1,3,79.2,5464.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6890-PFRQX,0,0,0,18,1,0,0,0,69.5,1251.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1552-CZCLL,0,1,1,55,0,0,0,3,20.0,1100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2014-MKGMH,0,0,0,46,2,2,1,1,101.1,4650.599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0303-WMMRN,0,0,0,5,0,0,1,0,19.25,96.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
