tenure,InternetService,Contract,TotalCharges,OnlineSecurity_No internet service,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
7061-OVMIM,30,0,2,586.5,1.0,1.0,1.0,1.0,1.0,1.0,0
5153-RTHKF,34,2,0,2901.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0
1852-QSWCD,64,0,1,1587.2,1.0,1.0,1.0,1.0,1.0,1.0,0
4832-VRBMR,65,2,2,6704.75,0.0,0.0,0.0,0.0,0.0,0.0,0
9079-LWTFD,47,2,0,4735.25,0.0,0.0,0.0,0.0,0.0,0.0,0
6356-ELRKD,1,2,0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,1
8624-GIOUT,49,1,0,2927.75,0.0,0.0,0.0,0.0,0.0,0.0,1
3392-EHMNK,67,2,1,6304.7,0.0,0.0,0.0,0.0,0.0,0.0,0
5986-WWXDV,39,0,2,754.6500000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
3061-BCKYI,14,0,0,278.59999999999997,1.0,1.0,1.0,1.0,1.0,1.0,0
6179-GJPSO,43,2,0,4650.45,0.0,0.0,0.0,0.0,0.0,0.0,1
7901-TBKJX,56,2,0,5658.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7228-PAQPD,14,1,2,827.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3177-LASXD,1,2,0,71.35,0.0,0.0,0.0,0.0,0.0,0.0,1
7746-QYVCO,16,1,2,893.6,0.0,0.0,0.0,0.0,0.0,0.0,0
5804-HYIEZ,70,2,0,7423.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9919-FZDED,72,1,1,6055.2,0.0,0.0,0.0,0.0,0.0,0.0,0
5934-TSSAU,23,2,0,1731.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
3486-KHMLI,21,0,0,518.6999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
4897-QSUYC,1,0,0,20.15,1.0,1.0,1.0,1.0,1.0,1.0,1
1084-UQCHV,1,2,0,69.75,0.0,0.0,0.0,0.0,0.0,0.0,1
8290-YWKHZ,32,2,0,2982.4,0.0,0.0,0.0,0.0,0.0,0.0,1
2955-BJZHG,17,2,0,1374.4499999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
3806-DXQOM,4,1,0,134.6,0.0,0.0,0.0,0.0,0.0,0.0,1
6784-XYJAE,36,1,2,2008.8,0.0,0.0,0.0,0.0,0.0,0.0,0
3933-DQPWX,50,1,1,1985.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
6661-EIPZC,48,1,0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8957-THMOA,50,0,1,1007.4999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
2251-PYLPB,72,1,1,5727.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
5555-RNPGT,10,0,0,248.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1057-FOGLZ,18,0,0,353.7,1.0,1.0,1.0,1.0,1.0,1.0,0
9300-RENDD,1,2,0,79.95,0.0,0.0,0.0,0.0,0.0,0.0,1
0761-AETCS,1,0,0,19.3,1.0,1.0,1.0,1.0,1.0,1.0,1
8087-LGYHQ,9,2,0,846.4499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4137-BTIKL,2,2,0,181.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2190-BCXEC,40,2,0,3154.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6227-FBDXH,69,2,2,6865.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2153-MREFK,37,2,2,3670.4,0.0,0.0,0.0,0.0,0.0,0.0,1
2911-WDXMV,18,2,0,1449.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
7206-PQBBZ,11,2,0,772.2,0.0,0.0,0.0,0.0,0.0,0.0,0
3106-ULWFW,8,2,0,681.6,0.0,0.0,0.0,0.0,0.0,0.0,1
0925-VYDLG,3,2,0,225.75,0.0,0.0,0.0,0.0,0.0,0.0,1
4547-FZJWE,55,1,2,3269.75,0.0,0.0,0.0,0.0,0.0,0.0,0
7422-WNBTY,33,2,0,3080.5499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
0842-IWYCP,46,1,0,2067.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
3521-HTQTV,34,0,1,887.4000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
3744-ZBHON,3,0,0,60.599999999999994,1.0,1.0,1.0,1.0,1.0,1.0,0
3373-DIUUN,30,0,1,637.5,1.0,1.0,1.0,1.0,1.0,1.0,0
8383-SGHJU,33,1,2,1960.2,0.0,0.0,0.0,0.0,0.0,0.0,0
7607-QKKTJ,45,2,2,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7707-PYBBH,40,1,0,2476.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8984-HPEMB,71,2,1,8424.15,0.0,0.0,0.0,0.0,0.0,0.0,0
4349-GFQHK,1,1,0,54.35,0.0,0.0,0.0,0.0,0.0,0.0,1
4139-DETXS,72,1,1,4640.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9779-DPNEJ,22,2,0,1763.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
9805-FILKB,46,0,2,929.1999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
5793-YOLJN,55,0,1,1155.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0673-IGUQO,1,0,0,20.45,1.0,1.0,1.0,1.0,1.0,1.0,0
4123-FCVCB,12,1,2,910.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
8819-IMISP,31,2,0,2493.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
7802-EFKNY,5,1,0,124.75,0.0,0.0,0.0,0.0,0.0,0.0,1
8311-UEUAB,67,1,1,5058.5,0.0,0.0,0.0,0.0,0.0,0.0,0
5858-EAFCZ,1,1,0,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0
8035-BUYVG,40,1,2,1694.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1163-ONYEY,41,1,0,3056.5499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
9787-XVQIU,1,2,0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,1
8945-MUQUF,51,2,2,4834.8,0.0,0.0,0.0,0.0,0.0,0.0,1
5656-MJEFC,42,1,1,2022.3,0.0,0.0,0.0,0.0,0.0,0.0,0
6082-OQFBA,23,0,2,451.95,1.0,1.0,1.0,1.0,1.0,1.0,0
8051-HJRLT,1,2,0,70.55,0.0,0.0,0.0,0.0,0.0,0.0,1
8974-OVACP,1,0,0,20.15,1.0,1.0,1.0,1.0,1.0,1.0,0
4010-YLMVT,56,2,0,5969.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
1379-FRVEB,15,2,0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8612-GXIDD,12,0,1,304.79999999999995,1.0,1.0,1.0,1.0,1.0,1.0,0
6288-CHQJB,54,1,1,3777.3,0.0,0.0,0.0,0.0,0.0,0.0,0
8160-HOWOX,7,1,0,467.94999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0
3023-GFLBR,33,2,0,2842.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,1
6648-INWPS,16,0,0,322.4,1.0,1.0,1.0,1.0,1.0,1.0,0
4223-BKEOR,21,1,2,1361.85,0.0,0.0,0.0,0.0,0.0,0.0,0
4079-VTGLK,30,1,1,2245.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1763-WQFUK,3,1,0,151.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1391-UBDAR,11,2,0,801.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
8894-JVDCV,62,2,2,7133.099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-VQFDL,18,0,0,342.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1345-GKDZZ,6,0,0,117.30000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
2014-MKGMH,46,2,2,4650.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
5628-FCGYG,21,2,0,1766.1,0.0,0.0,0.0,0.0,0.0,0.0,0
2560-WBWXF,68,0,1,1642.1999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0
0248-IPDFW,1,1,0,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0
7978-DKUQH,25,2,0,1864.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
4335-UPJSI,24,0,1,474.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0524-IAVZO,30,2,0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2737-YNGYW,2,2,0,161.1,0.0,0.0,0.0,0.0,0.0,0.0,1
1784-EZDKJ,51,2,2,5446.8,0.0,0.0,0.0,0.0,0.0,0.0,0
9297-FVVDH,57,1,1,4816.5,0.0,0.0,0.0,0.0,0.0,0.0,0
8007-YYPWD,15,0,1,375.75,1.0,1.0,1.0,1.0,1.0,1.0,0
7101-HRBLJ,72,1,1,6026.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
5159-YFPKQ,2,2,0,151.6,0.0,0.0,0.0,0.0,0.0,0.0,1
6635-CPNUN,28,2,0,2704.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
4021-RQSNY,29,2,0,2856.5,0.0,0.0,0.0,0.0,0.0,0.0,1
5453-YBTWV,70,2,1,7077.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5039-LZRQT,13,0,2,262.59999999999997,1.0,1.0,1.0,1.0,1.0,1.0,0
2931-VUVJN,59,2,2,5548.95,0.0,0.0,0.0,0.0,0.0,0.0,0
9061-TIHDA,13,2,0,1238.25,0.0,0.0,0.0,0.0,0.0,0.0,1
8699-ASUFO,7,2,0,520.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
6418-PIQSP,62,1,1,5022.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8220-OCUFY,21,1,2,1265.25,0.0,0.0,0.0,0.0,0.0,0.0,0
3995-WFCSM,2,1,0,121.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1895-QTKDO,1,1,0,43.95,0.0,0.0,0.0,0.0,0.0,0.0,0
2038-OEQZH,4,2,0,344.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1178-PZGAB,19,0,2,384.75,1.0,1.0,1.0,1.0,1.0,1.0,0
7927-AUXBZ,30,2,0,2554.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2626-VEEWG,67,0,1,1299.8,1.0,1.0,1.0,1.0,1.0,1.0,0
2878-RMWXY,72,2,1,7390.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1657-DYMBM,53,0,1,1054.6999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0
7311-MQJCH,5,0,2,97.75,1.0,1.0,1.0,1.0,1.0,1.0,0
7375-WMVMT,71,2,1,6780.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1136-XGEQU,50,1,2,4207.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2530-FMFXO,56,2,1,5779.2,0.0,0.0,0.0,0.0,0.0,0.0,0
6844-DZKRF,2,1,0,100.4,0.0,0.0,0.0,0.0,0.0,0.0,0
4695-WJZUE,2,2,0,177.1,0.0,0.0,0.0,0.0,0.0,0.0,1
7619-ODSGN,24,1,0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5970-GHJAW,46,0,1,917.6999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
8879-XUAHX,71,2,1,8253.75,0.0,0.0,0.0,0.0,0.0,0.0,0
3689-MOZGR,29,1,0,904.8,0.0,0.0,0.0,0.0,0.0,0.0,0
4195-PNGZS,69,0,1,1687.05,1.0,1.0,1.0,1.0,1.0,1.0,0
5003-XZWWO,71,1,1,5978.2,0.0,0.0,0.0,0.0,0.0,0.0,0
3988-RQIXO,1,2,0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,1
7622-FWGEW,56,1,1,4796.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
6922-NCEDI,56,0,2,1187.2,1.0,1.0,1.0,1.0,1.0,1.0,0
2514-GINMM,1,2,0,79.5,0.0,0.0,0.0,0.0,0.0,0.0,1
9891-NQDBD,28,0,2,715.4,1.0,1.0,1.0,1.0,1.0,1.0,0
6131-IUNXN,19,0,0,383.8,1.0,1.0,1.0,1.0,1.0,1.0,0
8548-AWOFC,66,1,0,4214.1,0.0,0.0,0.0,0.0,0.0,0.0,0
9798-DRYDS,17,1,2,1053.15,0.0,0.0,0.0,0.0,0.0,0.0,0
8532-UEFWH,52,0,1,1339.0,1.0,1.0,1.0,1.0,1.0,1.0,0
6296-DDOOR,19,1,2,1105.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7951-VRDVK,36,1,2,3090.6,0.0,0.0,0.0,0.0,0.0,0.0,0
5931-FLJJF,7,2,0,490.69999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1
4815-YOSUK,72,2,2,7552.8,0.0,0.0,0.0,0.0,0.0,0.0,0
2659-VXMWZ,67,2,2,7457.099999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
0380-NEAVX,34,2,2,3394.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0
3207-OYBWH,57,2,0,5429.25,0.0,0.0,0.0,0.0,0.0,0.0,1
4285-GYRQC,7,2,0,603.75,0.0,0.0,0.0,0.0,0.0,0.0,1
7216-EWTRS,1,2,0,100.8,0.0,0.0,0.0,0.0,0.0,0.0,1
4365-MSDYN,8,0,0,156.4,1.0,1.0,1.0,1.0,1.0,1.0,0
7036-TYDEC,69,2,1,7176.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5802-ADBRC,50,2,2,5220.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8076-FEZKJ,10,0,2,195.0,1.0,1.0,1.0,1.0,1.0,1.0,0
5197-YPYBZ,12,0,1,303.0,1.0,1.0,1.0,1.0,1.0,1.0,0
8337-MSSXB,14,2,0,1208.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4312-GVYNH,70,1,1,3489.5,0.0,0.0,0.0,0.0,0.0,0.0,0
8495-LJDFO,64,2,0,6972.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0839-JTCUD,66,1,1,5933.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
5494-WOZRZ,71,1,1,5822.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1302-UHBDD,20,2,0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2234-EOFPT,72,1,1,5713.2,0.0,0.0,0.0,0.0,0.0,0.0,0
8619-IJNDK,71,1,1,4547.55,0.0,0.0,0.0,0.0,0.0,0.0,0
8378-LKJAF,38,2,0,3843.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
8182-BJDSI,28,2,0,2518.6,0.0,0.0,0.0,0.0,0.0,0.0,1
2528-HFYZX,17,2,0,1299.65,0.0,0.0,0.0,0.0,0.0,0.0,1
1153-GNOLC,33,1,2,1290.3,0.0,0.0,0.0,0.0,0.0,0.0,0
3298-QEICA,23,1,1,795.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
0788-DXBFY,58,0,2,1133.9,1.0,1.0,1.0,1.0,1.0,1.0,0
3597-YASZG,70,2,1,7311.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3496-LFSZU,4,2,0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5242-UOWHD,45,0,1,915.7500000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
2482-CZGBB,10,2,0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6479-SZPLM,36,0,1,700.1999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
8097-VBQTZ,54,1,0,3774.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
4500-HKANN,23,1,1,1373.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9917-KWRBE,41,1,2,3212.35,0.0,0.0,0.0,0.0,0.0,0.0,0
3420-ZDBMA,5,2,0,357.25,0.0,0.0,0.0,0.0,0.0,0.0,0
2212-LYASK,27,1,2,1237.95,0.0,0.0,0.0,0.0,0.0,0.0,0
1393-IMKZG,1,2,0,95.85,0.0,0.0,0.0,0.0,0.0,0.0,0
8069-RHUXK,67,1,1,2391.9,0.0,0.0,0.0,0.0,0.0,0.0,0
3398-GCPMU,72,1,1,6447.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
2908-WGAXL,56,0,1,1397.2,1.0,1.0,1.0,1.0,1.0,1.0,0
3378-AJRAO,44,0,2,1093.4,1.0,1.0,1.0,1.0,1.0,1.0,0
1013-QCWAM,66,2,0,6652.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0866-QLSIR,34,1,2,2189.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1
6050-FFXES,69,2,1,7269.15,0.0,0.0,0.0,0.0,0.0,0.0,0
7181-BQYBV,1,2,0,102.45,0.0,0.0,0.0,0.0,0.0,0.0,1
0362-RAOQO,40,0,1,786.0,1.0,1.0,1.0,1.0,1.0,1.0,0
9554-DFKIC,30,1,0,1633.5,0.0,0.0,0.0,0.0,0.0,0.0,0
5527-ACHSO,11,1,0,775.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0829-DDVLK,15,0,2,301.5,1.0,1.0,1.0,1.0,1.0,1.0,0
1399-UBQIU,11,1,0,762.8499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
1813-JLKWR,64,0,2,1267.2,1.0,1.0,1.0,1.0,1.0,1.0,0
0336-PIKEI,72,1,1,5356.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7322-OCWHC,72,2,1,6699.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
9537-VHDTA,1,1,0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0
4957-TIALW,15,1,2,983.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
2054-PJOCK,60,1,2,4833.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9150-HEPMB,56,1,2,2951.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
9030-QGZNL,8,0,1,166.8,1.0,1.0,1.0,1.0,1.0,1.0,0
6204-IEUXJ,3,2,0,240.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
3126-WQMGH,49,1,0,2555.35,0.0,0.0,0.0,0.0,0.0,0.0,0
4529-CKBCL,2,2,0,160.4,0.0,0.0,0.0,0.0,0.0,0.0,1
2506-CLAKW,6,2,0,588.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
7176-WRTNX,70,2,1,8046.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1583-IHQZE,12,2,0,1355.4,0.0,0.0,0.0,0.0,0.0,0.0,1
5732-IKGQH,52,2,2,5431.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9239-GZHZE,72,2,1,8182.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7205-BAIAD,40,0,1,824.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0151-ONTOV,1,2,0,70.9,0.0,0.0,0.0,0.0,0.0,0.0,1
4140-MUHUG,3,2,0,260.54999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1
0093-EXYQL,40,2,0,3662.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8064-RAVOH,1,1,0,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0
0219-QAERP,30,0,2,594.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0320-JDNQG,23,2,0,2296.5499999999997,0.0,0.0,0.0,0.0,0.0,0.0,1
7180-PISOG,1,2,0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,1
9168-INPSZ,44,2,0,4582.6,0.0,0.0,0.0,0.0,0.0,0.0,0
3571-RFHAR,65,2,0,7094.75,0.0,0.0,0.0,0.0,0.0,0.0,1
0015-UOCOJ,7,1,0,337.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
5334-AFQJB,72,0,1,1807.2,1.0,1.0,1.0,1.0,1.0,1.0,0
2754-SDJRD,8,2,0,801.2,0.0,0.0,0.0,0.0,0.0,0.0,0
9578-VRMNM,16,1,0,1043.2,0.0,0.0,0.0,0.0,0.0,0.0,1
1587-FKLZB,66,2,0,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6140-QNRQQ,1,2,0,71.55,0.0,0.0,0.0,0.0,0.0,0.0,1
8963-JLGJT,3,1,0,167.7,0.0,0.0,0.0,0.0,0.0,0.0,0
4307-KTUMW,53,2,0,4976.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
1465-LNTLJ,8,1,0,515.2,0.0,0.0,0.0,0.0,0.0,0.0,0
5440-FLBQG,69,2,1,7479.6,0.0,0.0,0.0,0.0,0.0,0.0,1
2135-DQWAQ,5,2,0,426.5,0.0,0.0,0.0,0.0,0.0,0.0,0
4056-QHXHZ,72,2,1,7736.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
7470-MCQTK,13,1,0,633.75,0.0,0.0,0.0,0.0,0.0,0.0,1
7488-MXJIV,4,2,0,342.6,0.0,0.0,0.0,0.0,0.0,0.0,1
7401-JIXNM,54,1,1,4930.2,0.0,0.0,0.0,0.0,0.0,0.0,0
9339-FIIJL,72,1,1,6188.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
2027-FECZV,12,2,0,1280.4,0.0,0.0,0.0,0.0,0.0,0.0,1
2672-DZUOY,1,1,0,25.15,0.0,0.0,0.0,0.0,0.0,0.0,1
4706-DGAHW,1,1,0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0
3870-MQAMG,54,2,2,5958.9,0.0,0.0,0.0,0.0,0.0,0.0,1
6670-MFRPK,69,2,1,5464.8,0.0,0.0,0.0,0.0,0.0,0.0,0
6177-PEVRA,48,1,1,2664.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4800-CZMPC,48,2,2,4956.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4813-HQMGZ,8,2,0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7579-KKLOE,71,1,1,6478.75,0.0,0.0,0.0,0.0,0.0,0.0,0
7377-DMMRI,2,1,0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,1
8402-EIVQS,67,2,2,6760.3,0.0,0.0,0.0,0.0,0.0,0.0,0
4947-DSMXK,34,2,0,3321.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7245-NIIWQ,3,2,0,209.54999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
0002-ORFBO,9,1,2,590.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3324-OIRTO,71,2,2,7430.150000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
5414-OFQCB,57,2,1,5155.650000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
4967-WPNCF,72,1,1,4586.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
8552-OBVRU,48,2,0,5016.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8499-BRXTD,18,0,2,361.8,1.0,1.0,1.0,1.0,1.0,1.0,0
9154-QDGTH,43,2,2,4484.9,0.0,0.0,0.0,0.0,0.0,0.0,0
8197-BFWVU,72,1,1,6714.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2577-GVSIL,35,1,2,2570.75,0.0,0.0,0.0,0.0,0.0,0.0,0
9367-OIUXP,4,0,0,82.8,1.0,1.0,1.0,1.0,1.0,1.0,0
6770-UAYGJ,49,0,1,1237.25,1.0,1.0,1.0,1.0,1.0,1.0,0
6463-HHXJR,71,2,1,7135.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7928-VJYAB,11,2,0,996.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
1187-WILMM,63,1,1,5632.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9776-OJUZI,65,2,0,6204.25,0.0,0.0,0.0,0.0,0.0,0.0,0
1306-RPWXZ,49,0,1,1002.05,1.0,1.0,1.0,1.0,1.0,1.0,0
8949-JTMAY,29,2,0,2859.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1
2774-LVQUS,15,2,0,1245.75,0.0,0.0,0.0,0.0,0.0,0.0,1
3097-PYWXL,4,0,0,79.8,1.0,1.0,1.0,1.0,1.0,1.0,0
2266-SJNAT,72,2,2,7858.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0869-PAPRP,26,2,0,2228.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
4238-JSSWH,35,2,0,3571.75,0.0,0.0,0.0,0.0,0.0,0.0,0
2972-YDYUW,57,2,2,5397.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
1104-FEJAM,28,1,0,1803.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
2809-ILCYT,25,0,2,670.0,1.0,1.0,1.0,1.0,1.0,1.0,0
5499-ECUTN,47,1,2,3104.35,0.0,0.0,0.0,0.0,0.0,0.0,0
4981-FLTMF,57,1,0,3716.4,0.0,0.0,0.0,0.0,0.0,0.0,0
9121-PHQSR,16,2,0,1360.8,0.0,0.0,0.0,0.0,0.0,0.0,0
3113-IWHLC,5,1,0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3211-ILJTT,17,2,0,1196.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1
4612-THJBS,56,2,2,5866.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4277-BWBML,72,0,1,1436.3999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
4094-NSEDU,21,2,0,1979.25,0.0,0.0,0.0,0.0,0.0,0.0,1
0234-TEVTT,48,1,2,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4304-TSPVK,68,2,1,7813.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
1552-AAGRX,30,2,0,3192.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2637-FKFSY,3,1,0,138.3,0.0,0.0,0.0,0.0,0.0,0.0,0
9796-MVYXX,14,1,1,555.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
7874-ECPQJ,4,0,0,80.2,1.0,1.0,1.0,1.0,1.0,1.0,0
0020-INWCK,71,2,1,6798.25,0.0,0.0,0.0,0.0,0.0,0.0,0
7089-RKVSZ,8,0,2,195.2,1.0,1.0,1.0,1.0,1.0,1.0,0
2683-JXWQQ,61,1,0,2049.6,0.0,0.0,0.0,0.0,0.0,0.0,0
9548-ZMVTX,72,2,1,6512.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
8739-XNIKG,5,2,0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9755-JHNMN,49,1,1,3302.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
3981-QSVQI,8,0,0,157.6,1.0,1.0,1.0,1.0,1.0,1.0,0
2789-HQBOU,3,2,0,241.04999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
9424-CMPOG,9,0,1,176.4,1.0,1.0,1.0,1.0,1.0,1.0,0
5067-WJEUN,67,1,1,3631.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3450-WXOAT,46,1,0,2079.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
9251-WNSOD,67,1,2,5031.7,0.0,0.0,0.0,0.0,0.0,0.0,0
6974-DAFLI,55,0,2,1083.5,1.0,1.0,1.0,1.0,1.0,1.0,0
2616-UUTFK,33,1,0,2400.75,0.0,0.0,0.0,0.0,0.0,0.0,0
7064-JHXCE,62,0,1,1243.1000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
